# 1:x 2:y 3:u.x 4:u.y 5:p
4 7 1.05344 -0.0941919 0.0171031
4 7.02353 1.05344 -0.0941919 0.0171031
4 7.04706 1.05344 -0.0941919 0.0171031
4 7.07059 1.05344 -0.0941919 0.0171031
4 7.09412 1.05344 -0.0941919 0.0171031
4 7.11765 1.05344 -0.0941919 0.0171031
4 7.14118 1.05344 -0.0941919 0.0171031
4 7.16471 1.05344 -0.0941919 0.0171031
4 7.18824 1.05344 -0.0941919 0.0171031
4 7.21176 1.05344 -0.0941919 0.0171031
4 7.23529 1.05344 -0.0941919 0.0171031
4 7.25882 1.05344 -0.0941919 0.0171031
4 7.28235 1.05344 -0.0941919 0.0171031
4 7.30588 1.05344 -0.0941919 0.0171031
4 7.32941 1.05344 -0.0941919 0.0171031
4 7.35294 1.05344 -0.0941919 0.0171031
4 7.37647 1.05344 -0.0941919 0.0171031
4 7.4 1.05344 -0.0941919 0.0171031
4 7.42353 1.05344 -0.0941919 0.0171031
4 7.44706 1.05344 -0.0941919 0.0171031
4 7.47059 1.05344 -0.0941919 0.0171031
4 7.49412 1.05344 -0.0941919 0.0171031
4 7.51765 1.04721 -0.114157 0.0344334
4 7.54118 1.04721 -0.114157 0.0344334
4 7.56471 1.04721 -0.114157 0.0344334
4 7.58823 1.04721 -0.114157 0.0344334
4 7.61176 1.04721 -0.114157 0.0344334
4 7.63529 1.04721 -0.114157 0.0344334
4 7.65882 1.04721 -0.114157 0.0344334
4 7.68235 1.04721 -0.114157 0.0344334
4 7.70588 1.04721 -0.114157 0.0344334
4 7.72941 1.04721 -0.114157 0.0344334
4 7.75294 1.04721 -0.114157 0.0344334
4 7.77647 1.04721 -0.114157 0.0344334
4 7.8 1.04721 -0.114157 0.0344334
4 7.82353 1.04153 -0.132292 0.046059
4 7.84706 1.04153 -0.132292 0.046059
4 7.87059 1.04153 -0.132292 0.046059
4 7.89412 1.04153 -0.132292 0.046059
4 7.91765 1.04153 -0.132292 0.046059
4 7.94118 1.04153 -0.132292 0.046059
4 7.9647 1.04153 -0.132292 0.046059
4 7.98823 1.04153 -0.132292 0.046059
4 8.01176 1.04153 -0.132292 0.046059
4 8.03529 1.04153 -0.132292 0.046059
4 8.05882 1.04153 -0.132292 0.046059
4 8.08235 1.04153 -0.132292 0.046059
4 8.10588 1.04153 -0.132292 0.046059
4 8.12941 1.02941 -0.154802 0.0615677
4 8.15294 1.02941 -0.154802 0.0615677
4 8.17647 1.02941 -0.154802 0.0615677
4 8.2 1.02941 -0.154802 0.0615677
4 8.22353 1.02941 -0.154802 0.0615677
4 8.24706 1.02941 -0.154802 0.0615677
4 8.27059 1.02941 -0.154802 0.0615677
4 8.29412 1.02941 -0.154802 0.0615677
4 8.31765 1.02941 -0.154802 0.0615677
4 8.34118 1.02941 -0.154802 0.0615677
4 8.3647 1.02941 -0.154802 0.0615677
4 8.38823 1.02941 -0.154802 0.0615677
4 8.41176 1.02941 -0.154802 0.0615677
4 8.43529 1.02941 -0.154802 0.0615677
4 8.45882 1.01987 -0.181796 0.0717389
4 8.48235 1.01987 -0.181796 0.0717389
4 8.50588 1.01987 -0.181796 0.0717389
4 8.52941 1.01987 -0.181796 0.0717389
4 8.55294 1.01987 -0.181796 0.0717389
4 8.57647 1.01987 -0.181796 0.0717389
4 8.6 1.00395 -0.197026 0.087476
4 8.62353 1.00395 -0.197026 0.087476
4 8.64706 1.00395 -0.197026 0.087476
4 8.67059 1.00395 -0.197026 0.087476
4 8.69412 1.00395 -0.197026 0.087476
4 8.71765 1.00395 -0.197026 0.087476
4 8.74117 1.00395 -0.197026 0.087476
4 8.7647 0.98245 -0.212784 0.107833
4 8.78823 0.98245 -0.212784 0.107833
4 8.81176 0.98245 -0.212784 0.107833
4 8.83529 0.98245 -0.212784 0.107833
4 8.85882 0.98245 -0.212784 0.107833
4 8.88235 0.98245 -0.212784 0.107833
4 8.90588 0.98245 -0.212784 0.107833
4 8.92941 0.953164 -0.227531 0.134426
4 8.95294 0.953164 -0.227531 0.134426
4 8.97647 0.953164 -0.227531 0.134426
4 9 0.953164 -0.227531 0.134426
4 9.02353 0.953164 -0.227531 0.134426
4 9.04706 0.953164 -0.227531 0.134426
4 9.07059 0.91401 -0.239799 0.168154
4 9.09412 0.91401 -0.239799 0.168154
4 9.11764 0.91401 -0.239799 0.168154
4 9.14117 0.91401 -0.239799 0.168154
4 9.1647 0.91401 -0.239799 0.168154
4 9.18823 0.91401 -0.239799 0.168154
4 9.21176 0.91401 -0.239799 0.168154
4 9.23529 0.863366 -0.243359 0.213431
4 9.25882 0.863366 -0.243359 0.213431
4 9.28235 0.863366 -0.243359 0.213431
4 9.30588 0.863366 -0.243359 0.213431
4 9.32941 0.863366 -0.243359 0.213431
4 9.35294 0.863366 -0.243359 0.213431
4 9.37647 0.802297 -0.233323 0.265597
4 9.4 0.802297 -0.233323 0.265597
4 9.42353 0.802297 -0.233323 0.265597
4 9.44706 0.802297 -0.233323 0.265597
4 9.47059 0.802297 -0.233323 0.265597
4 9.49412 0.802297 -0.233323 0.265597
4 9.51764 0.802297 -0.233323 0.265597
4 9.54117 0.734921 -0.199516 0.327163
4 9.5647 0.734921 -0.199516 0.327163
4 9.58823 0.734921 -0.199516 0.327163
4 9.61176 0.734921 -0.199516 0.327163
4 9.63529 0.734921 -0.199516 0.327163
4 9.65882 0.734921 -0.199516 0.327163
4 9.68235 0.734921 -0.199516 0.327163
4 9.70588 0.670327 -0.170407 0.373588
4 9.72941 0.670327 -0.170407 0.373588
4 9.75294 0.670327 -0.170407 0.373588
4 9.77647 0.640814 -0.129281 0.399118
4 9.8 0.640814 -0.129281 0.399118
4 9.82353 0.640814 -0.129281 0.399118
4 9.84706 0.636583 -0.0498275 0.41297
4 9.87059 0.636583 -0.0498275 0.41297
4 9.89411 0.636583 -0.0498275 0.41297
4 9.91764 0.636583 -0.0498275 0.41297
4 9.94117 0.636583 -0.0498275 0.41297
4 9.9647 0.636583 -0.0498275 0.41297
4 9.98823 0.636583 -0.0498275 0.41297
4 10.0118 0.636495 0.0504489 0.412955
4 10.0353 0.636495 0.0504489 0.412955
4 10.0588 0.636495 0.0504489 0.412955
4 10.0823 0.636495 0.0504489 0.412955
4 10.1059 0.636495 0.0504489 0.412955
4 10.1294 0.636495 0.0504489 0.412955
4 10.1529 0.636495 0.0504489 0.412955
4 10.1765 0.640602 0.129839 0.398979
4 10.2 0.640602 0.129839 0.398979
4 10.2235 0.640602 0.129839 0.398979
4 10.2471 0.670036 0.170925 0.373398
4 10.2706 0.670036 0.170925 0.373398
4 10.2941 0.670036 0.170925 0.373398
4 10.3176 0.734514 0.199986 0.326928
4 10.3412 0.734514 0.199986 0.326928
4 10.3647 0.734514 0.199986 0.326928
4 10.3882 0.734514 0.199986 0.326928
4 10.4118 0.734514 0.199986 0.326928
4 10.4353 0.734514 0.199986 0.326928
4 10.4588 0.734514 0.199986 0.326928
4 10.4823 0.801832 0.233727 0.26535
4 10.5059 0.801832 0.233727 0.26535
4 10.5294 0.801832 0.233727 0.26535
4 10.5529 0.801832 0.233727 0.26535
4 10.5765 0.801832 0.233727 0.26535
4 10.6 0.801832 0.233727 0.26535
4 10.6235 0.801832 0.233727 0.26535
4 10.6471 0.862898 0.243722 0.21321
4 10.6706 0.862898 0.243722 0.21321
4 10.6941 0.862898 0.243722 0.21321
4 10.7176 0.862898 0.243722 0.21321
4 10.7412 0.862898 0.243722 0.21321
4 10.7647 0.862898 0.243722 0.21321
4 10.7882 0.913548 0.240136 0.167964
4 10.8118 0.913548 0.240136 0.167964
4 10.8353 0.913548 0.240136 0.167964
4 10.8588 0.913548 0.240136 0.167964
4 10.8823 0.913548 0.240136 0.167964
4 10.9059 0.913548 0.240136 0.167964
4 10.9294 0.913548 0.240136 0.167964
4 10.9529 0.95272 0.227847 0.134282
4 10.9765 0.95272 0.227847 0.134282
4 11 0.95272 0.227847 0.134282
4 11.0235 0.95272 0.227847 0.134282
4 11.0471 0.95272 0.227847 0.134282
4 11.0706 0.95272 0.227847 0.134282
4 11.0941 0.982011 0.21308 0.107736
4 11.1176 0.982011 0.21308 0.107736
4 11.1412 0.982011 0.21308 0.107736
4 11.1647 0.982011 0.21308 0.107736
4 11.1882 0.982011 0.21308 0.107736
4 11.2118 0.982011 0.21308 0.107736
4 11.2353 0.982011 0.21308 0.107736
4 11.2588 1.00349 0.197292 0.0874229
4 11.2823 1.00349 0.197292 0.0874229
4 11.3059 1.00349 0.197292 0.0874229
4 11.3294 1.00349 0.197292 0.0874229
4 11.3529 1.00349 0.197292 0.0874229
4 11.3765 1.00349 0.197292 0.0874229
4 11.4 1.00349 0.197292 0.0874229
4 11.4235 1.01936 0.182022 0.0717278
4 11.4471 1.01936 0.182022 0.0717278
4 11.4706 1.01936 0.182022 0.0717278
4 11.4941 1.01936 0.182022 0.0717278
4 11.5176 1.01936 0.182022 0.0717278
4 11.5412 1.01936 0.182022 0.0717278
4 11.5647 1.02881 0.155048 0.0616272
4 11.5882 1.02881 0.155048 0.0616272
4 11.6118 1.02881 0.155048 0.0616272
4 11.6353 1.02881 0.155048 0.0616272
4 11.6588 1.02881 0.155048 0.0616272
4 11.6823 1.02881 0.155048 0.0616272
4 11.7059 1.02881 0.155048 0.0616272
4 11.7294 1.02881 0.155048 0.0616272
4 11.7529 1.02881 0.155048 0.0616272
4 11.7765 1.02881 0.155048 0.0616272
4 11.8 1.02881 0.155048 0.0616272
