1:x 2:y 3:u.x 4:u.y 5:p
4.023430000000000284e+00 8.007799999999999585e+00 1.041469999999999896e+00 -1.319629999999999970e-01 4.533879999999999855e-02
4.023430000000000284e+00 8.046870000000000189e+00 1.041469999999999896e+00 -1.319629999999999970e-01 4.533879999999999855e-02
4.023430000000000284e+00 8.085929999999999396e+00 1.041469999999999896e+00 -1.319629999999999970e-01 4.533879999999999855e-02
4.023430000000000284e+00 8.124990000000000379e+00 1.041469999999999896e+00 -1.319629999999999970e-01 4.533879999999999855e-02
4.023430000000000284e+00 8.164049999999999585e+00 1.029360000000000053e+00 -1.544639999999999902e-01 6.069080000000000308e-02
4.023430000000000284e+00 8.203120000000000189e+00 1.029360000000000053e+00 -1.544639999999999902e-01 6.069080000000000308e-02
4.023430000000000284e+00 8.242179999999999396e+00 1.029360000000000053e+00 -1.544639999999999902e-01 6.069080000000000308e-02
4.023430000000000284e+00 8.281240000000000379e+00 1.029360000000000053e+00 -1.544639999999999902e-01 6.069080000000000308e-02
4.023430000000000284e+00 8.320299999999999585e+00 1.029360000000000053e+00 -1.544639999999999902e-01 6.069080000000000308e-02
4.023430000000000284e+00 8.359370000000000189e+00 1.029360000000000053e+00 -1.544639999999999902e-01 6.069080000000000308e-02
4.023430000000000284e+00 8.398429999999999396e+00 1.029360000000000053e+00 -1.544639999999999902e-01 6.069080000000000308e-02
4.023430000000000284e+00 8.437490000000000379e+00 1.029360000000000053e+00 -1.544639999999999902e-01 6.069080000000000308e-02
4.023430000000000284e+00 8.476549999999999585e+00 1.019830000000000014e+00 -1.814860000000000084e-01 7.077020000000000532e-02
4.023430000000000284e+00 8.515620000000000189e+00 1.019830000000000014e+00 -1.814860000000000084e-01 7.077020000000000532e-02
4.023430000000000284e+00 8.554679999999999396e+00 1.019830000000000014e+00 -1.814860000000000084e-01 7.077020000000000532e-02
4.023430000000000284e+00 8.593740000000000379e+00 1.019830000000000014e+00 -1.814860000000000084e-01 7.077020000000000532e-02
4.023430000000000284e+00 8.632799999999999585e+00 1.003919999999999924e+00 -1.967200000000000060e-01 8.643960000000000532e-02
4.023430000000000284e+00 8.671870000000000189e+00 1.003919999999999924e+00 -1.967200000000000060e-01 8.643960000000000532e-02
4.023430000000000284e+00 8.710929999999999396e+00 1.003919999999999924e+00 -1.967200000000000060e-01 8.643960000000000532e-02
4.023430000000000284e+00 8.749990000000000379e+00 1.003919999999999924e+00 -1.967200000000000060e-01 8.643960000000000532e-02
4.023430000000000284e+00 8.789049999999999585e+00 9.824119999999999520e-01 -2.124840000000000062e-01 1.067319999999999935e-01
4.023430000000000284e+00 8.828120000000000189e+00 9.824119999999999520e-01 -2.124840000000000062e-01 1.067319999999999935e-01
4.023430000000000284e+00 8.867179999999999396e+00 9.824119999999999520e-01 -2.124840000000000062e-01 1.067319999999999935e-01
4.023430000000000284e+00 8.906240000000000379e+00 9.824119999999999520e-01 -2.124840000000000062e-01 1.067319999999999935e-01
4.023430000000000284e+00 8.945299999999999585e+00 9.531230000000000535e-01 -2.272349999999999925e-01 1.332609999999999906e-01
4.023430000000000284e+00 8.984370000000000189e+00 9.531230000000000535e-01 -2.272349999999999925e-01 1.332609999999999906e-01
4.023430000000000284e+00 9.023429999999999396e+00 9.531230000000000535e-01 -2.272349999999999925e-01 1.332609999999999906e-01
4.023430000000000284e+00 9.062490000000000379e+00 9.531230000000000535e-01 -2.272349999999999925e-01 1.332609999999999906e-01
4.023430000000000284e+00 9.101549999999999585e+00 9.139629999999999699e-01 -2.395069999999999977e-01 1.669249999999999901e-01
4.023430000000000284e+00 9.140620000000000189e+00 9.139629999999999699e-01 -2.395069999999999977e-01 1.669249999999999901e-01
4.023430000000000284e+00 9.179679999999999396e+00 9.139629999999999699e-01 -2.395069999999999977e-01 1.669249999999999901e-01
4.023430000000000284e+00 9.218740000000000379e+00 9.139629999999999699e-01 -2.395069999999999977e-01 1.669249999999999901e-01
